time,system|rainfall,link|P1|flow,link|P2|flow,link|42722|flow,link|20945|flow,link|21854|flow,link|325|flow,link|12660|flow,link|21823|flow,link|20648|flow,link|20647|flow,link|21822|flow,link|21792|flow,link|21796|flow,link|21788|flow,node|J03260054|depth,node|J03262001|depth,node|J03260051|depth,node|J03262031|depth,node|J03260048|depth,node|J03260041|depth,node|J03261014|depth,node|J03260033|depth,node|J03260038|depth,node|J03261009|depth,node|J03235003|depth,node|J03263052|depth,node|J03260029|depth,node|J03260026|depth,node|J03263039|depth,node|J03411080|depth,node|J03263058|depth,node|J03235002|depth,node|J03190142|depth,node|J03190161|depth,node|J03411020|depth,node|J03190164|depth,node|J03380238|depth,node|J03260559|depth,pump|P1|status,pump|P2|status
2026-05-11 09:10:00,0.0,4.0,57.75,-49.46215,37.277695,25.519613,25.538355,22.860771,22.964436,22.717999,22.61042,22.938322,22.699276,22.785517,22.766972,1.9203238,1.8526942,1.8228209,1.7529684,1.7238632,1.5926446,1.3824263,1.3823215,1.3723497,1.3624473,1.3171487,1.3128341,1.2923441,1.2824453,1.2628118,1.2329528,1.2228538,1.2171475,1.0999781,1.0916756,1.0728772,1.0716708,1.061706,1.0528315,1,1
2026-05-11 09:20:00,0.0,2.0,57.75,-48.519547,37.287483,25.524786,25.504688,23.216705,22.529007,22.75738,22.838118,22.548681,22.882862,22.90687,22.838438,1.920867,1.8525186,1.8212763,1.7529684,1.7216873,1.5923902,1.3828042,1.3826442,1.3725225,1.3628182,1.3171479,1.3128265,1.2927377,1.2828133,1.2628151,1.232894,1.2228477,1.2171428,1.099978,1.0916412,1.0729305,1.071637,1.0616722,1.052831,1,1
2026-05-11 09:30:00,0.0,2.0,57.75,-47.934734,37.277843,25.50752,25.497162,22.817158,22.832329,22.877926,22.9311,22.850986,22.871758,22.755335,22.817755,1.9214408,1.8523136,1.8231705,1.7526674,1.7238001,1.5924611,1.3822865,1.3826954,1.3727587,1.3623235,1.317147,1.3128172,1.292596,1.2824565,1.2628257,1.2328824,1.2227949,1.2171477,1.0999779,1.091723,1.0728499,1.0717252,1.0617083,1.0528277,1,1
2026-05-11 09:40:00,0.0,2.0,57.75,-49.637817,37.27344,25.499077,25.504955,22.84754,22.89341,22.900526,22.691074,22.946636,22.663527,22.720022,22.75405,1.9205288,1.8526891,1.8228338,1.7531023,1.7236208,1.5926535,1.3825805,1.3823267,1.3723347,1.3625642,1.3171405,1.3128345,1.2923245,1.2824197,1.2628242,1.2328738,1.2228706,1.2171441,1.0999777,1.091733,1.072851,1.071736,1.0617088,1.0528268,1,1
2026-05-11 09:50:00,0.0,2.0,57.75,-48.55365,37.281345,25.504011,25.499617,22.970661,22.895325,22.591051,22.75597,22.57616,22.818039,22.87251,22.802975,1.9209476,1.8524972,1.8212559,1.7529213,1.7217139,1.592386,1.3829244,1.3826358,1.3725281,1.3628805,1.3171456,1.3128256,1.2927647,1.2827944,1.2628497,1.2327654,1.2227579,1.217145,1.0999779,1.0916365,1.0727506,1.0716331,1.0616654,1.052834,1,1
2026-05-11 10:00:00,0.0,4.0,57.75,-48.166534,37.27539,25.502474,25.465086,22.227621,22.810337,22.850904,22.894184,22.834352,22.916021,22.833187,22.842861,1.9212803,1.8523144,1.8231761,1.7525315,1.7239347,1.5924577,1.3823823,1.3826444,1.3727566,1.3623558,1.317147,1.3128194,1.2925032,1.2824196,1.2628331,1.2327843,1.2228305,1.2171481,1.0999777,1.0916928,1.0727843,1.0716923,1.0616951,1.0528276,1,1
2026-05-11 10:10:00,0.0,4.0,57.75,-49.688553,37.28,25.504,25.453234,22.83371,22.856407,22.946762,22.842064,22.896961,22.697788,22.694489,22.762983,1.9207458,1.8526878,1.8228039,1.75329,1.7233931,1.5926628,1.3825666,1.382333,1.3723092,1.3625566,1.3171419,1.3128262,1.2923783,1.2824322,1.2628255,1.2328104,1.2228096,1.2171462,1.0999774,1.0916924,1.0728003,1.0717059,1.0617157,1.0528249,1,1
2026-05-11 10:20:00,0.0,4.0,57.75,-48.673,37.285725,25.505816,25.469316,22.878574,22.994127,22.592485,22.636974,22.824038,22.744793,22.821043,22.774595,1.921043,1.8524703,1.8213276,1.7527959,1.7218106,1.592381,1.3828183,1.3826494,1.3725388,1.362824,1.3171476,1.3128204,1.292728,1.2828001,1.2628423,1.2328058,1.2228136,1.2171422,1.0999775,1.0916455,1.0728159,1.0716252,1.0616837,1.0528241,1,1
2026-05-11 10:30:00,0.0,2.0,57.75,-48.297318,37.26643,25.490463,25.506046,22.685974,22.402956,22.819534,22.854805,22.690544,22.901615,22.892824,22.845123,1.9213011,1.8523117,1.8230792,1.7524681,1.7239928,1.5924559,1.3822708,1.3826005,1.3727463,1.3622737,1.3171371,1.312832,1.2925063,1.28241,1.2628037,1.2329108,1.2228063,1.2171403,1.0999776,1.0916622,1.0729041,1.0716618,1.0616695,1.0528264,1,1
2026-05-11 10:40:00,0.0,4.0,57.75,-49.749115,37.275394,25.503191,25.47182,22.814037,22.836792,22.904957,22.927896,22.861876,22.801298,22.708668,22.788519,1.9208889,1.8526816,1.8228415,1.753443,1.7231789,1.5926749,1.3824241,1.3823589,1.3722839,1.3624469,1.3171409,1.3128159,1.2924263,1.2824755,1.2628021,1.2329158,1.2228585,1.2171448,1.0999775,1.0917333,1.0728934,1.0717354,1.061712,1.052825,1,1
